"Date","Price","Open","High","Low","Vol.","Change %"
"10/27/2016","967.25","961.80","972.10","960.60","","0.56%"
"10/26/2016","961.85","962.30","971.95","958.10","","-0.01%"
"10/25/2016","961.95","941.95","968.70","940.45","","2.13%"
"10/24/2016","941.85","934.40","950.35","934.15","","0.80%"
"10/23/2016","934.35","936.25","936.25","932.90","","-0.07%"
"10/21/2016","935.00","933.35","936.70","927.30","","0.14%"
"10/20/2016","933.70","946.35","948.30","931.00","","-1.35%"
"10/19/2016","946.45","946.35","952.65","940.30","","-0.01%"
"10/18/2016","946.50","938.95","953.85","938.95","","0.80%"
"10/17/2016","939.00","938.90","944.85","929.45","","0.01%"
"10/16/2016","938.90","937.70","940.15","936.35","","0.18%"
"10/14/2016","937.25","936.85","942.40","928.90","","0.02%"
"10/13/2016","937.05","943.60","952.00","932.35","","-0.68%"
"10/12/2016","943.50","949.20","954.95","941.50","","-0.61%"
"10/11/2016","949.25","968.95","974.05","948.60","","-2.04%"
"10/10/2016","969.00","976.70","978.10","963.35","","-0.78%"
"10/09/2016","976.65","970.85","978.50","970.85","","0.61%"
"10/07/2016","970.75","971.90","980.90","953.50","","-0.11%"
"10/06/2016","971.85","985.55","987.00","964.40","","-1.40%"
"10/05/2016","985.60","991.00","999.40","974.65","","-0.53%"
"10/04/2016","990.90","1,010.75","1,013.25","988.10","","-1.95%"
"10/03/2016","1,010.60","1,032.20","1,036.00","1,006.85","","-2.10%"
"10/02/2016","1,032.25","1,032.70","1,032.70","1,027.60","","-0.05%"
"09/30/2016","1,032.80","1,032.55","1,046.95","1,030.35","","0.04%"
"09/29/2016","1,032.35","1,040.10","1,045.40","1,025.50","","-0.79%"
"09/28/2016","1,040.60","1,031.60","1,041.10","1,016.65","","0.87%"
"09/27/2016","1,031.65","1,044.55","1,054.05","1,026.85","","-1.23%"
"09/26/2016","1,044.45","1,060.20","1,060.85","1,041.35","","-1.49%"
"09/25/2016","1,060.25","1,060.75","1,061.65","1,054.10","","0.30%"
"09/23/2016","1,057.10","1,058.10","1,063.70","1,052.20","","-0.11%"
"09/22/2016","1,058.25","1,054.10","1,068.40","1,046.75","","0.38%"
"09/21/2016","1,054.25","1,034.05","1,059.10","1,026.15","","1.97%"
"09/20/2016","1,033.90","1,023.45","1,038.80","1,020.50","","1.01%"
"09/19/2016","1,023.60","1,021.05","1,032.35","1,019.25","","0.24%"
"09/18/2016","1,021.10","1,020.10","1,021.80","1,018.90","","0.34%"
"09/16/2016","1,017.60","1,034.45","1,038.05","1,010.60","","-1.62%"
