"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2015","24.95","24.80","25.10","24.30","742.01K","1.22%"
"05/07/2015","24.65","23.85","24.65","23.85","658.15K","3.14%"
"05/06/2015","23.90","24.85","24.95","23.75","772.89K","-2.85%"
"05/05/2015","24.60","25.40","25.60","24.50","676.41K","-1.60%"
"05/04/2015","25.00","25.70","25.75","24.60","963.62K","-1.19%"
"05/01/2015","25.30","24.50","25.90","24.30","1.52M","2.02%"
"04/30/2015","24.80","24.50","25.50","24.30","1.02M","-2.94%"
"04/29/2015","25.55","25.05","25.75","24.80","1.31M","2.00%"
"04/28/2015","25.05","24.05","25.15","24.00","1.03M","4.81%"
"04/27/2015","23.90","23.85","24.70","23.66","1.23M","1.70%"
"04/24/2015","23.50","24.25","24.57","23.45","967.62K","-4.08%"
"04/23/2015","24.50","24.10","24.65","23.90","566.14K","2.08%"
"04/22/2015","24.00","24.25","24.49","23.75","730.05K","-1.44%"
"04/21/2015","24.35","24.55","24.90","24.30","532.49K","-2.01%"
"04/20/2015","24.85","24.50","24.90","24.05","487.21K","0.81%"
"04/17/2015","24.65","25.30","25.60","24.30","593.60K","-1.79%"
"04/16/2015","25.10","25.95","26.20","25.00","662.58K","-1.76%"
"04/15/2015","25.55","24.40","25.80","24.40","1.05M","4.93%"
"04/14/2015","24.35","23.60","24.60","23.55","735.84K","4.73%"
"04/13/2015","23.25","24.15","24.34","23.25","838.43K","-4.12%"
"04/10/2015","24.25","24.00","24.30","23.80","557.80K","3.19%"
"04/09/2015","23.50","23.60","23.75","23.25","597.12K","-1.47%"
"04/08/2015","23.85","24.55","24.75","23.55","873.72K","-2.85%"
"04/07/2015","24.55","24.45","25.10","24.35","566.92K","-1.41%"
"04/06/2015","24.90","25.35","25.40","24.70","862.72K","2.68%"
"04/02/2015","24.25","24.50","24.68","23.80","1.20M","-2.22%"
"04/01/2015","24.80","23.50","24.80","23.40","1.12M","8.06%"
"03/31/2015","22.95","23.25","23.65","22.75","832.63K","-1.29%"
"03/30/2015","23.25","23.70","24.20","23.20","1.02M","-4.32%"
"03/27/2015","24.30","24.50","24.80","24.00","709.51K","-1.82%"
"03/26/2015","24.75","26.00","26.20","24.45","831.29K","-2.75%"
"03/25/2015","25.45","26.60","26.75","25.38","750.33K","-3.23%"
"03/24/2015","26.30","25.45","26.48","25.15","830.66K","3.75%"
"03/23/2015","25.35","25.45","25.70","24.95","1.19M","-0.39%"
"03/20/2015","25.45","24.75","25.75","24.75","4.07M","4.30%"
"03/19/2015","24.40","23.95","24.60","23.70","1.07M","0.62%"
"03/18/2015","24.25","23.25","24.30","22.30","1.78M","4.08%"
"03/17/2015","23.30","23.40","24.10","23.00","1.25M","-2.10%"
"03/16/2015","23.80","24.15","24.27","23.10","1.15M","-1.65%"
"03/13/2015","24.20","23.70","24.25","22.88","1.15M","2.54%"
"03/12/2015","23.60","24.05","24.30","23.05","916.69K","-0.21%"
"03/11/2015","23.65","23.05","23.85","22.10","1.08M","1.94%"
"03/10/2015","23.20","23.05","24.00","22.85","887.83K","-0.22%"
"03/09/2015","23.25","24.25","24.40","22.75","1.10M","-3.73%"
"03/06/2015","24.15","24.80","25.20","23.80","1.49M","-5.48%"
"03/05/2015","25.55","26.15","26.35","25.55","667.00K","-1.92%"
