"Date","Price","Open","High","Low","Vol.","Change %"
"11/10/2016","699.80","688.35","697.20","687.80","0.01K","2.15%"
"11/09/2016","685.10","683.20","683.20","683.20","0.00K","2.67%"
"11/08/2016","667.30","653.00","671.55","647.00","0.79K","1.38%"
"11/07/2016","658.20","620.00","658.85","620.00","0.58K","5.03%"
"11/04/2016","626.65","623.85","633.15","620.20","0.51K","1.16%"
"11/03/2016","619.45","630.30","632.00","618.85","0.54K","-2.66%"
"11/02/2016","636.40","633.35","637.95","630.00","0.39K","0.06%"
"11/01/2016","636.05","623.40","637.95","622.60","0.82K","2.61%"
"10/31/2016","619.90","619.50","623.20","613.70","0.41K","0.28%"
"10/28/2016","618.15","614.40","624.95","614.40","0.60K","0.50%"
"10/27/2016","615.05","626.00","627.00","614.45","0.49K","-1.24%"
"10/26/2016","622.75","635.00","641.15","619.90","0.21K","-2.19%"
"10/25/2016","636.70","639.95","645.00","636.85","0.09K","0.65%"
"10/24/2016","632.60","628.50","633.95","624.70","0.10K","1.60%"
"10/21/2016","622.65","631.70","631.70","621.00","0.07K","-1.90%"
"10/20/2016","634.70","639.00","639.00","631.00","0.22K","-0.42%"
"10/19/2016","637.40","639.00","645.85","636.85","0.05K","-0.61%"
"10/18/2016","641.30","646.00","649.10","640.35","0.07K","0.26%"
"10/17/2016","639.65","649.95","649.95","637.00","0.02K","-1.62%"
"10/14/2016","650.15","639.90","650.15","634.40","0.05K","1.79%"
"10/13/2016","638.70","645.00","646.50","638.40","0.01K","-1.88%"
"10/12/2016","650.95","654.30","657.00","647.80","0.04K","0.14%"
"10/11/2016","650.05","667.00","667.00","651.45","0.12K","-3.04%"
"10/10/2016","670.45","674.20","674.20","666.80","0.14K","0.16%"
"10/07/2016","669.40","672.25","680.00","666.10","0.19K","0.20%"
"10/06/2016","668.05","672.00","672.25","665.50","0.13K","-1.39%"
"10/05/2016","677.45","691.65","694.15","676.95","0.14K","-3.80%"
"10/04/2016","704.20","710.00","710.00","710.00","0.00K","-1.32%"
"10/03/2016","713.60","722.00","726.70","709.05","0.04K","-1.29%"
"09/30/2016","722.95","718.00","728.95","717.00","0.03K","0.28%"
