"Date","Price","Open","High","Low","Vol.","Change %"
"11/29/2017","2,626.10","2,627.80","2,634.90","2,620.30","","-0.03%"
"11/28/2017","2,627.00","2,605.90","2,627.70","2,605.40","","0.98%"
"11/27/2017","2,601.40","2,602.70","2,606.40","2,598.90","","-0.04%"
"11/24/2017","2,602.40","2,600.40","2,604.20","2,600.40","","0.20%"
"11/22/2017","2,597.10","2,600.30","2,600.90","2,595.20","","-0.07%"
"11/21/2017","2,599.00","2,589.20","2,601.20","2,589.20","","0.65%"
"11/20/2017","2,582.10","2,579.50","2,584.60","2,578.20","","0.13%"
"11/17/2017","2,578.80","2,582.90","2,584.00","2,577.60","","-0.26%"
"11/16/2017","2,585.60","2,572.90","2,590.10","2,572.90","","0.82%"
"11/15/2017","2,564.60","2,569.40","2,572.80","2,557.40","","-0.55%"
"11/14/2017","2,578.90","2,577.80","2,579.70","2,566.60","","-0.23%"
"11/13/2017","2,584.80","2,576.50","2,587.70","2,574.50","","0.10%"
"11/10/2017","2,582.30","2,580.20","2,583.80","2,575.60","","-0.09%"
"11/09/2017","2,584.60","2,584.00","2,586.50","2,566.30","","-0.38%"
"11/08/2017","2,594.40","2,588.70","2,595.50","2,585.00","","0.15%"
"11/07/2017","2,590.60","2,592.10","2,597.00","2,584.30","","-0.02%"
"11/06/2017","2,591.10","2,587.50","2,593.40","2,585.70","","0.13%"
"11/03/2017","2,587.80","2,581.90","2,588.40","2,576.80","","0.31%"
"11/02/2017","2,579.80","2,579.50","2,581.10","2,566.20","","0.02%"
"11/01/2017","2,579.40","2,583.20","2,588.40","2,574.90","","0.16%"
"10/31/2017","2,575.30","2,576.00","2,578.30","2,572.20","","0.10%"
"10/30/2017","2,572.80","2,577.80","2,580.00","2,568.20","","-0.32%"
"10/27/2017","2,581.10","2,570.30","2,583.00","2,565.90","","0.81%"
"10/26/2017","2,560.40","2,560.10","2,567.10","2,559.80","","0.13%"
"10/25/2017","2,557.20","2,566.50","2,567.40","2,544.00","","-0.46%"
"10/24/2017","2,569.10","2,568.70","2,572.20","2,565.60","","0.16%"
"10/23/2017","2,565.00","2,578.10","2,578.30","2,564.30","","-0.40%"
"10/20/2017","2,575.20","2,567.60","2,575.40","2,567.60","","0.51%"
"10/19/2017","2,562.10","2,553.40","2,562.40","2,547.90","","0.03%"
"10/18/2017","2,561.30","2,562.90","2,564.10","2,559.70","","0.07%"
"10/17/2017","2,559.40","2,557.20","2,559.70","2,554.70","","0.07%"
"10/16/2017","2,557.60","2,555.60","2,559.50","2,552.60","","0.17%"
"10/13/2017","2,553.20","2,555.70","2,557.70","2,552.10","","0.09%"
"10/12/2017","2,550.90","2,552.90","2,555.30","2,548.30","","-0.17%"
"10/11/2017","2,555.20","2,550.60","2,555.20","2,547.90","","0.18%"
"10/10/2017","2,550.60","2,550.00","2,555.20","2,544.90","","0.23%"
"10/09/2017","2,544.70","2,551.40","2,551.80","2,541.60","","-0.18%"
"10/06/2017","2,549.30","2,547.40","2,549.40","2,543.80","","-0.11%"
"10/05/2017","2,552.10","2,540.90","2,552.50","2,540.00","","0.57%"
"10/04/2017","2,537.70","2,533.50","2,540.50","2,531.80","","0.12%"
"10/03/2017","2,534.60","2,530.30","2,535.10","2,528.80","","0.22%"
"10/02/2017","2,529.10","2,521.20","2,529.20","2,520.40","","0.39%"
"09/29/2017","2,519.40","2,510.00","2,519.40","2,508.00","","0.37%"
"09/28/2017","2,510.10","2,503.40","2,510.80","2,502.90","","0.12%"
"09/27/2017","2,507.00","2,503.30","2,511.80","2,495.90","","0.41%"
"09/26/2017","2,496.80","2,501.00","2,503.50","2,495.10","","0.00%"
"09/25/2017","2,496.70","2,499.40","2,502.50","2,488.00","","-0.22%"
"09/22/2017","2,502.20","2,497.30","2,503.50","2,496.50","","0.06%"
